FAO commodity group,FAO group code,Family,Corrected Species,Original Species,Authority,Notes
"Fruit, tropical fresh nes",603,Passifloraceae,Passiflora edulis,Passiflora edulis,Sims,
"Fruit, tropical fresh nes",603,Anacardiaceae,Prunus umbellata,Prunus umbellata,Elliot,"FAO lists this species simply under ""Spondias spp, but then lists ""hog plum"" as the corresponding products"
"Fruit, tropical fresh nes",603,Myrtaceae,Psidium guajava,Psidium guajava,L.,
"Fruit, tropical fresh nes",603,Solanaceae,Solanum quitoense,Solanum quitoense,Lam.,
"Fruit, tropical fresh nes",603,Anacardiaceae,Spondias mombin,Spondias mombin,L.,"FAO lists this species as Spondias spp, but then lists ""mombin"" as the corresponding product."
"Fruit, tropical fresh nes",603,Anacardiaceae,Spondias purpurea,Spondias purpurea,L.,"FAO lists this species simply under Spondias spp, but then lists ""mombin"" as the corresponding products."
Garlic,406,Liliaceae,Allium sativum,Allium sativum,L.,
Ginger,720,Zingiberaceae,Zingiber officinale,Zingiber officinale,Roscoe,
Gooseberries,549,Grossulariaceae,Ribes uva-crispa,Ribes uva-crispa,L.,FAO lists the synonym Ribes grossularia L.
"Grain, mixed",103,NA,NA,NA,NA,"FAO indicates this includes ""A mixture of cereal species that are sown and harvested together. It does not include: meslin (a mixture wheat/rye)."""
Grapefruit (inc. pomelos),507,Rutaceae,Citrus maxima,Citrus maxima,(Burm. f.) Merr. ,"FAO also lists Citrus grandis (L.) Osbeck, but this is a synonym for C. maxima"
