FAO commodity group,FAO group code,Family,Corrected Species,Original Species,Authority,Notes
"Vegetables, fresh nes",463,Poaceae,Phyllostachys bambusoides,Phyllostachys bambusoides,Siebold & Zucc. ,FAO only lists this as Bambusa spp.; but these are the most common harvested species
"Vegetables, fresh nes",463,Poaceae,Phyllostachys edulis,Phyllostachys edulis,(Carrière) J. Houz. ,FAO only lists this as Bambusa spp.; but these are the most common harvested species
"Vegetables, fresh nes",463,Brassicaceae,Raphanus sativus,Raphanus sativu ,L.,
"Vegetables, fresh nes",463,Polygonaceae,Rheum rhabarbarum,Rheum rhabarbarum,L.,"FAO lists only Rheum spp., and notes it represents rhubarb"
"Vegetables, fresh nes",463,Polygonaceae,Rumex acetosa ,Rumex acetosa ,L.,
"Vegetables, fresh nes",463,Lamiaceae,Satureja hortensis ,Satureja hortensis ,L.,
"Vegetables, fresh nes",463,Asteraceae,Scorzonera hispanica ,Scorzonera hispanica ,L.,
"Vegetables, fresh nes",463,Poaceae,Sinocalamus latiflorus,Sinocalamus latiflorus,(Munro) McClure ,FAO only lists this as Bambusa spp.; but these are the most common harvested species
"Vegetables, fresh nes",463,Asteraceae,Tragopogon porrifolius ,Tragopogon porrifolius ,L.,
"Vegetables, leguminous nes",420,Fabaceae,Vicia faba,Vicia faba,L.,
Vetches,205,Fabaceae,Vicia sativa,Vicia sativa,L.,
"Walnuts, with shell",222,Juglandaceae,Juglans regia,Juglans regia,L.,FAO has this misspelled as Juglands regia
Watermelons,567,Cucurbitaceae,Citrullus lanatus,Citrullus lanatus,(Thunb.) Matsum. & Nakai,FAO lists Citrullus vulgaris Schrad. which is a synonym for a subspecies of C. lanatus
Wheat,15,Poaceae,Triticum aestivum,Triticum aestivum,L.,
Wheat,15,Poaceae,Triticum turgidum,Triticum durum,Desf.,
Wheat,15,Poaceae,Triticum spelta,Triticum spelta,L.,
Yams,137,Dioscoreaceae,Dioscorea alata,Dioscorea alata,L.,"FAO lists only Dioscorea spp. but the species below are those identified as the most important commercially cultivated species, which are then cross-checked with USDA."
Yams,137,Dioscoreaceae,Dioscorea bulbifera,Dioscorea bulbifera,L.,
Yams,137,Dioscoreaceae,Dioscorea cayenensis,Dioscorea cayenensis,Lam.,
Yams,137,Dioscoreaceae,Dioscorea dumetorum,Dioscorea dumetorum,(Kunth) Pax ,
Yams,137,Dioscoreaceae,Dioscorea esculenta,Dioscorea esculenta,(Lour.) Burkill ,
Yams,137,Dioscoreaceae,Dioscorea oppositifolia,Dioscorea polystachya,Turcz.,USDA lists this as the synonym Dioscorea oppositifolia L.
Yams,137,Dioscoreaceae,Dioscorea rotundata,Dioscorea rotundata,Poir.,
Yams,137,Dioscoreaceae,Dioscorea trifida,Dioscorea trifida,L. f. ,
Yautia (cocoyam),135,Araceae,Xanthosoma sagittifolium,Xanthosoma sagittifolium,(L.) Schott,FAO lists Xanthosoma spp.
