,Food_code,Main_food_description,novaclass,SR code,SR description,Acceptable List?,Notes
504,13120780,"Ice cream cone, chocolate covered, with nuts, chocolate ice cream",4,12065,"Nuts, almonds, oil roasted, without salt added",No,
505,13120790,Ice cream sundae cone,4,19095,"Ice creams, vanilla",No,
505,13120790,Ice cream sundae cone,4,18271,"Ice cream cones, cake or wafer-type",No,
505,13120790,Ice cream sundae cone,4,19080,"Candies, semisweet chocolate",No,
506,13120790,Ice cream sundae cone,4,16389,"Peanuts, all types, oil-roasted, without salt",No,
507,13121200,"Ice cream sundae, prepackaged type, flavors other than chocolate",4,43269,"Frozen novelties, ice cream type, sundae, prepackaged",No,
508,13121400,"Ice cream sundae, not fruit or chocolate topping, with whipped cream",4,19095,"Ice creams, vanilla",No,
509,13121400,"Ice cream sundae, not fruit or chocolate topping, with whipped cream",4,19350,"Syrups, corn, light",No,
509,13121400,"Ice cream sundae, not fruit or chocolate topping, with whipped cream",4,1151,"Milk, nonfat, fluid, without added vitamin A and vitamin D (fat free or skim)",No,
509,13121400,"Ice cream sundae, not fruit or chocolate topping, with whipped cream",4,19335,"Sugars, granulated",No,
509,13121400,"Ice cream sundae, not fruit or chocolate topping, with whipped cream",4,1001,"Butter, salted",No,
510,13121400,"Ice cream sundae, not fruit or chocolate topping, with whipped cream",4,1052,"Cream, fluid, light whipping",No,
511,13121500,"Ice cream sundae, fudge topping, with cake, with whipped cream",4,19095,"Ice creams, vanilla",No,
512,13121500,"Ice cream sundae, fudge topping, with cake, with whipped cream",4,19348,"Syrups, chocolate, fudge-type",No,
513,13121500,"Ice cream sundae, fudge topping, with cake, with whipped cream",4,1052,"Cream, fluid, light whipping",No,
514,13121500,"Ice cream sundae, fudge topping, with cake, with whipped cream",4,20084,"Wheat flour, white, cake, enriched",No,
515,13121500,"Ice cream sundae, fudge topping, with cake, with whipped cream",4,1211,"Milk, whole, 3.25% milkfat, without added vitamin A and vitamin D",No,
516,13121500,"Ice cream sundae, fudge topping, with cake, with whipped cream",4,19335,"Sugars, granulated",No,
517,13121500,"Ice cream sundae, fudge topping, with cake, with whipped cream",4,4615,"Shortening, vegetable, household, composite",No,
518,13121500,"Ice cream sundae, fudge topping, with cake, with whipped cream",4,1123,"Egg, whole, raw, fresh",No,
519,13121500,"Ice cream sundae, fudge topping, with cake, with whipped cream",4,18369,"Leavening agents, baking powder, double-acting, sodium aluminum sulfate",No,
520,13121500,"Ice cream sundae, fudge topping, with cake, with whipped cream",4,2047,"Salt, table",No,
521,13121500,"Ice cream sundae, fudge topping, with cake, with whipped cream",4,14429,"Water, tap, municipal",No,
522,13122500,"Ice cream pie, with cookie crust, fudge topping, and whipped cream",4,18942,"Pie Crust, Cookie-type, Graham Cracker, Ready Crust",No,
523,13122500,"Ice cream pie, with cookie crust, fudge topping, and whipped cream",4,19095,"Ice creams, vanilla",No,
524,13122500,"Ice cream pie, with cookie crust, fudge topping, and whipped cream",4,19348,"Syrups, chocolate, fudge-type",No,
525,13122500,"Ice cream pie, with cookie crust, fudge topping, and whipped cream",4,1054,"Cream, whipped, cream topping, pressurized",No,
526,13122500,"Ice cream pie, with cookie crust, fudge topping, and whipped cream",4,1073,"Dessert topping, semi solid, frozen",No,
527,13126000,"Ice cream, fried",4,19095,"Ice creams, vanilla",No,
528,13126000,"Ice cream, fried",4,8035,"Cereals ready-to-eat, GENERAL MILLS, GOLDEN GRAHAMS",No,
529,13130100,"Light ice cream, NS as to flavor (formerly ice milk)",4,19088,"Ice creams, vanilla, light (formerly Ice milk, vanilla)",No,
530,13130100,"Light ice cream, NS as to flavor (formerly ice milk)",4,14429,"Water, tap, municipal",No,
531,13130100,"Light ice cream, NS as to flavor (formerly ice milk)",4,19335,"Sugars, granulated",No,
532,13130100,"Light ice cream, NS as to flavor (formerly ice milk)",4,1091,"Milk, dry, nonfat, regular, without added vitamin A and vitamin D",No,
533,13130100,"Light ice cream, NS as to flavor (formerly ice milk)",4,1003,"Butter oil, anhydrous",No,
534,13130100,"Light ice cream, NS as to flavor (formerly ice milk)",4,19860,"Cocoa, dry powder, hi-fat or breakfast, processed with alkali",No,
535,13130300,"Light ice cream, flavors other than chocolate (formerly ice milk)",4,19088,"Ice creams, vanilla, light (formerly Ice milk, vanilla)",No,
536,13130310,"Light ice cream, chocolate (formerly ice milk)",4,19114,"Ice creams, chocolate, light",No,
537,13130320,"Light ice cream, no sugar added, NS as to flavor",4,19260,"Ice creams, vanilla, light, no sugar added",No,
538,13130330,"Light ice cream, no sugar added, flavors other than chocolate",4,19260,"Ice creams, vanilla, light, no sugar added",No,
539,13130340,"Light ice cream, no sugar added, chocolate",4,19265,"Ice creams, chocolate, light, no sugar added",No,
540,13130590,"Light ice cream, soft serve, NS as to flavor (formerly ice milk)",4,19096,"Ice creams, vanilla, light, soft-serve (formerly Ice milk, vanilla, soft serve)",No,
541,13130600,"Light ice cream, soft serve, flavors other than chocolate (formerly ice milk)",4,19096,"Ice creams, vanilla, light, soft-serve (formerly Ice milk, vanilla, soft serve)",No,
542,13130610,"Light ice cream, soft serve, chocolate (formerly ice milk)",4,14429,"Water, tap, municipal",No,
543,13130610,"Light ice cream, soft serve, chocolate (formerly ice milk)",4,19335,"Sugars, granulated",No,
544,13130610,"Light ice cream, soft serve, chocolate (formerly ice milk)",4,1091,"Milk, dry, nonfat, regular, without added vitamin A and vitamin D",No,
545,13130610,"Light ice cream, soft serve, chocolate (formerly ice milk)",4,1003,"Butter oil, anhydrous",No,
546,13130610,"Light ice cream, soft serve, chocolate (formerly ice milk)",4,19860,"Cocoa, dry powder, hi-fat or breakfast, processed with alkali",No,
547,13130620,"Light ice cream, soft serve cone, flavors other than chocolate (formerly ice milk)",4,21028,"Fast foods, vanilla, light, soft-serve ice cream, with cone",No,
548,13130630,"Light ice cream, soft serve cone, chocolate (formerly ice milk)",4,21028,"Fast foods, vanilla, light, soft-serve ice cream, with cone",No,
549,13130630,"Light ice cream, soft serve cone, chocolate (formerly ice milk)",4,19166,"Cocoa, dry powder, unsweetened, processed with alkali",No,
550,13130640,"Light ice cream, soft serve cone, NS as to flavor (formerly ice milk)",4,21028,"Fast foods, vanilla, light, soft-serve ice cream, with cone",No,
551,13130700,"Light ice cream, soft serve, blended with candy or cookies",4,21412,"Light Ice Cream, soft serve, blended with milk chocolate candies",No,
552,13130700,"Light ice cream, soft serve, blended with candy or cookies",4,21413,"Light Ice Cream, soft serve, blended with cookie pieces",No,
553,13135000,"Ice cream sandwich, made with light ice cream, flavors other than chocolate",4,1241,"Ice cream sandwich, made with light ice cream, vanilla",No,
554,13135010,"Ice cream sandwich, made with light chocolate ice cream",4,19114,"Ice creams, chocolate, light",No,
555,13135010,"Ice cream sandwich, made with light chocolate ice cream",4,20481,"Wheat flour, white, all-purpose, unenriched",No,
556,13135010,"Ice cream sandwich, made with light chocolate ice cream",4,19335,"Sugars, granulated",No,
557,13135010,"Ice cream sandwich, made with light chocolate ice cream",4,4651,"Oil, industrial, soy (partially hydrogenated), multiuse for non-dairy butter flavor",No,
558,13135010,"Ice cream sandwich, made with light chocolate ice cream",4,19860,"Cocoa, dry powder, hi-fat or breakfast, processed with alkali",No,
559,13136000,"Ice cream sandwich, made with light, no sugar added ice cream",4,1242,"Ice cream sandwich, vanilla, light, no sugar added",No,
560,13140100,"Light ice cream, bar or stick, chocolate-coated (formerly ice milk)",4,19088,"Ice creams, vanilla, light (formerly Ice milk, vanilla)",No,
561,13140100,"Light ice cream, bar or stick, chocolate-coated (formerly ice milk)",4,4659,"Oil, industrial, coconut, confection fat, typical basis for ice cream coatings",No,
562,13140100,"Light ice cream, bar or stick, chocolate-coated (formerly ice milk)",4,19335,"Sugars, granulated",No,
563,13140100,"Light ice cream, bar or stick, chocolate-coated (formerly ice milk)",4,19166,"Cocoa, dry powder, unsweetened, processed with alkali",No,
564,13140110,"Light ice cream, bar or stick, chocolate covered, with nuts (formerly ice milk)",4,19088,"Ice creams, vanilla, light (formerly Ice milk, vanilla)",No,
564,13140110,"Light ice cream, bar or stick, chocolate covered, with nuts (formerly ice milk)",4,4659,"Oil, industrial, coconut, confection fat, typical basis for ice cream coatings",No,
