,Food_code,Main_food_description,novaclass,SR code,SR description,Acceptable List?,Notes
337,11720801,"America's Store Brand Soy, with iron, infant formula, ready-to-feed",4,3939,"Infant formula, PBM PRODUCTS, store brand, Soy, ready-to-feed, (formerly WYETH-AYERST)",NA,Baby food
338,11720802,"America's Store Brand Soy, with iron, infant formula, prepared from liquid concentrate",4,3940,"Infant formula, PBM PRODUCTS, store brand, Soy, liquid concentrate, not reconstituted (formerly WYETH-AYERST)",NA,Baby food
339,11720802,"America's Store Brand Soy, with iron, infant formula, prepared from liquid concentrate",4,14411,"Water, tap, drinking",NA,Baby food
340,11720803,"America's Store Brand Soy, with iron, infant formula, prepared from powder",4,3941,"Infant formula, PBM PRODUCTS, store brand, Soy, powder, (formerly WYETH-AYERST)",NA,Baby food
341,11720803,"America's Store Brand Soy, with iron, infant formula, prepared from powder",4,14411,"Water, tap, drinking",NA,Baby food
342,11740300,"Nutramigen, with iron, infant formula, NS as to form",4,3813,"Infant formula, MEAD JOHNSON, ENFAMIL, NUTRAMIGEN, with iron, ready-to-feed",NA,Baby food
343,11740301,"Nutramigen, with iron, infant formula, ready-to-feed",4,3813,"Infant formula, MEAD JOHNSON, ENFAMIL, NUTRAMIGEN, with iron, ready-to-feed",NA,Baby food
344,11740302,"Nutramigen, with iron, infant formula, prepared from liquid concentrate",4,3816,"Infant formula, MEAD JOHNSON, ENFAMIL, NUTRAMIGEN, with iron, liquid concentrate, not reconstituted",NA,Baby food
345,11740302,"Nutramigen, with iron, infant formula, prepared from liquid concentrate",4,14411,"Water, tap, drinking",NA,Baby food
346,11740303,"Nutramigen, with iron, infant formula, prepared from powder",4,3814,"Infant formula, MEAD JOHNSON, ENFAMIL, NUTRAMIGEN, with iron, powder, not reconstituted",NA,Baby food
347,11740303,"Nutramigen, with iron, infant formula, prepared from powder",4,14411,"Water, tap, drinking",NA,Baby food
348,11740310,"Enfamil Nutramigen Lipil, with iron, infant formula, NS as to form",4,3845,"Infant formula, MEAD JOHNSON, ENFAMIL, NUTRAMIGEN LIPIL, with iron, ready to feed, with ARA and DHA",NA,Baby food
349,11740311,"Enfamil Nutramigen Lipil, with iron, infant formula, ready-to-feed",4,3845,"Infant formula, MEAD JOHNSON, ENFAMIL, NUTRAMIGEN LIPIL, with iron, ready to feed, with ARA and DHA",NA,Baby food
350,11740312,"Enfamil Nutramigen Lipil, with iron, infant formula, prepared from liquid concentrate",4,3844,"Infant formula, MEAD JOHNSON, ENFAMIL, NUTRAMIGEN LIPIL, with iron liquid concentrate,not reconstituted",NA,Baby food
351,11740312,"Enfamil Nutramigen Lipil, with iron, infant formula, prepared from liquid concentrate",4,14411,"Water, tap, drinking",NA,Baby food
352,11740313,"Enfamil Nutramigen Lipil, with iron, infant formula, prepared from powder",4,3838,"Infant formula, MEAD JOHNSON, ENFAMIL, NUTRAMIGEN LIPIL, with iron, powder, not reconstituted, with ARA and DHA",NA,Baby food
